point_group_number,hm_symbol,schoenflies,group_order,a1_multiplicity_by_l,a1_node_width,a1_edge_width,pg_block_1_parameters,pg_block_2_parameters,dielectric_head_parameters,elastic_head_parameters,expert_total_parameters,active_expert_count,active_experts,active_parameters_dielectric,under_5m_dielectric,active_parameters_elastic,under_5m_elastic
1,1,C1,1,"[1, 3, 5, 7, 9]",56,50,0,0,342,1197,1539,32,"['1', '-1', '2', 'm', '2/m', '222', 'mm2', 'mmm', '4', '-4', '4/m', '422', '4mm', '-42m', '4/mmm', '3', '-3', '32', '3m', '-3m', '6', '-6', '6/m', '622', '6mm', '-6m2', '6/mmm', '23', 'm-3', '432', '-43m', 'm-3m']",3590118,True,3594302,True
2,-1,Ci,2,"[1, 0, 5, 0, 9]",36,30,353916,353916,222,777,708831,11,"['-1', '2/m', 'mmm', '4/m', '4/mmm', '-3', '-3m', '6/m', '6/mmm', 'm-3', 'm-3m']",1174773,True,1176194,True
3,2,C2,2,"[1, 1, 3, 3, 5]",32,26,242784,242784,132,429,486129,25,"['2', '2/m', '222', 'mm2', 'mmm', '4', '-4', '4/m', '422', '4mm', '-42m', '4/mmm', '32', '-3m', '6', '6/m', '622', '6mm', '-6m2', '6/mmm', '23', 'm-3', '432', '-43m', 'm-3m']",1784589,True,1786685,True
4,m,Cs,2,"[1, 2, 3, 4, 5]",36,30,353916,353916,148,481,708461,18,"['m', '2/m', 'mm2', 'mmm', '4/m', '4mm', '-42m', '4/mmm', '3m', '-3m', '-6', '6/m', '6mm', '-6m2', '6/mmm', 'm-3', '-43m', 'm-3m']",1681957,True,1683622,True
5,2/m,C2h,4,"[1, 0, 3, 0, 5]",24,18,95112,95112,100,325,190649,9,"['2/m', 'mmm', '4/m', '4/mmm', '-3m', '6/m', '6/mmm', 'm-3', 'm-3m']",418968,True,419749,True
6,222,D2,4,"[1, 0, 2, 1, 3]",20,14,51660,51660,63,189,103572,12,"['222', 'mmm', '422', '-42m', '4/mmm', '622', '6/mmm', '23', 'm-3', '432', '-43m', 'm-3m']",372907,True,373646,True
7,mm2,C2v,4,"[1, 1, 2, 2, 3]",24,18,95112,95112,75,225,190524,11,"['mm2', 'mmm', '4mm', '-42m', '4/mmm', '6mm', '-6m2', '6/mmm', 'm-3', '-43m', 'm-3m']",538753,True,539541,True
8,mmm,D2h,8,"[1, 0, 2, 0, 3]",18,12,36018,36018,57,171,72264,5,"['mmm', '4/mmm', '6/mmm', 'm-3', 'm-3m']",134862,True,135234,True
9,4,C4,4,"[1, 1, 1, 1, 3]",20,14,51660,51660,42,147,103509,7,"['4', '4/m', '422', '4mm', '4/mmm', '432', 'm-3m']",298955,True,299500,True
10,-4,S4,4,"[1, 0, 1, 2, 3]",20,14,51660,51660,42,147,103509,6,"['-4', '4/m', '-42m', '4/mmm', '-43m', 'm-3m']",253741,True,254222,True
